trial,mean_error_train,mean_error_test,r2_score_train,r2_score_test
1,10382660.112209592015,9990307.0393140129745,0.0,-0.00020386117675719184206
2,10273303.516273001209,10160290.792086195201,0.0,-3.2003940467761893274e-05
3,9905132.452294616029,10809647.202738378197,0.0,-0.00028480712106926375782
4,10222613.255232170224,10219728.89043003507,0.0,-2.1729211763243938549e-09
5,10327889.873256625608,9935751.852026762441,0.0,-3.7423634222433221908e-05
6,10537554.039339514449,9689448.232122819871,0.0,-0.0012148399068467874429
7,10440568.840177720413,9830234.459439691156,0.0,-0.0005708373360504559457
8,10247585.937144421041,10192979.037511821836,0.0,-3.7667139964892015769e-06
9,9751783.684243038297,11072856.042094008997,0.0,-0.0007745512060266523946
10,10133988.429822158068,10337827.831515651196,0.0,-7.12456219789103784e-05
11,9858384.406946219504,10862093.905375137925,0.0,-0.00043262769123741939836
12,10719788.723770523444,9317305.7925181649625,0.0,-0.0033899299716741992938
13,9731060.78358727321,11128720.624998891726,0.0,-0.00084641850148337027804
14,10070537.072645094246,10473271.805820956826,0.0,-0.00019588306103268671166
15,10733873.944897565991,9346658.651693256572,0.0,-0.002711309063852862522
16,10194044.163779465482,10261351.821802923456,0.0,-6.4313730434584215345e-06
17,10109867.223742179573,10402128.96061668545,0.0,-9.431273891302716095e-05
18,10954593.753769973293,8972852.863712660968,0.0,-0.008391716879911248483
19,9985893.179050080478,10650334.7518584076315,0.0,-0.00019792472724899923264
20,9866840.553664624691,10845713.655101420358,0.0,-0.0006015278027520221116
21,10453389.769863281399,9822915.8513776138425,0.0,-0.00055492460425798917356
22,10175629.860391033813,10289667.109307007864,0.0,-2.0311006688533694842e-05
23,10393869.957508163527,9904914.828185170889,0.0,-0.00018009467200696960276
24,9980301.159561775625,10649199.446859030053,0.0,-0.00018005727491354761582
25,10109230.206698067486,10445825.331325402483,0.0,-6.5047821519392812206e-05
