,mean_error_train,mean_error_test,r2_score_train,r2_score_test
1,163271.03301367969834,161153.76594838441815,0.0,-0.0017876558894172056569
2,163484.86441610974725,160444.54975771348109,0.0,-0.00010215581449202204567
3,162395.39542701069149,165015.45206983352546,0.0,-0.004002154411202551998
4,163168.19640979822725,161673.5709284786135,0.0,-1.6323696934161802119e-06
5,162008.88983856289997,166228.70133376205922,0.0,-0.00090106195902728281055
6,162234.87213378833258,165469.53907333296956,0.0,-0.0003044407817838212793
7,163258.24200703387032,161221.68041588709457,0.0,-0.0012078609133123752173
8,162473.3569158691389,164375.20555439265445,0.0,-0.0008075149285091676177
9,163247.6936831100611,161508.54311130876886,0.0,-0.0017114366788826274046
10,163122.61169503154815,161873.81719764028094,0.0,-1.8470528429403998416e-05
11,163290.28277489478933,161120.13939800145454,0.0,-0.00057457244948766472703
12,162248.69255968788639,165459.66403583003557,0.0,-0.00087403035108790660956
13,162401.58782072708709,164824.12697114396724,0.0,-0.00052735566029338265537
14,162548.98142072587507,164170.7189336285519,0.0,-2.3583885090827649833e-05
15,163846.45320791666745,158868.16950311366236,0.0,-0.0012182922898045234206
16,162363.41478608487523,164912.06601799314376,0.0,-2.3129998172333188222e-05
17,163421.10134849103633,160795.29435745815863,0.0,-0.0013273524399390890238
18,162547.56707538268529,164047.1902554052067,0.0,-0.0017451969462094485408
19,162958.35452215975965,162507.4223382913624,0.0,-9.5512308055933914375e-06
20,163042.58827348149498,162193.59920232449076,0.0,-1.7490235571626655542e-05
21,163076.38450321060373,162090.3212792307313,0.0,-0.0001862903096954138249
22,163701.04778742147028,159525.64876399905188,0.0,-5.056499658162572075e-05
23,162891.236534442025,162753.54898002109258,0.0,-0.00010915446964254726936
24,162220.85504560216214,165483.70355366508011,0.0,-2.37332087762442967e-05
25,162459.15290610611555,164510.8418301519996,0.0,-1.1891549698272996238e-06
