trial,mean_error_train,mean_error_test,r2_score_train,r2_score_test
1,280138.92903291329276,284115.87567076605046,0.0,-0.0013460543684675752019
2,280667.91713024571072,281334.75048337492626,0.0,-0.0009943255758628755103
3,280860.98964666947722,280410.11855848907726,0.0,-0.0023872074984088165195
4,281463.82983977202093,278514.30859489022987,0.0,-4.895480150968190003e-05
5,281129.3518291391083,280150.75571873714216,0.0,-0.0013457560902250254031
6,280067.2071271536406,283846.8858526404365,0.0,-0.0003795177263423710201
7,280746.7559709995403,281478.2868843031465,0.0,-0.000272879538329107163
8,280584.69453368824907,282180.93390648521017,0.0,-0.0004785635558302026027
9,280996.39125354250427,280177.3757778191939,0.0,-0.00021397290033653426633
10,281893.06717925640987,276687.95383602462243,0.0,-1.8497934858086040322e-05
11,281795.28584119857987,277491.02743974502664,0.0,-0.0013841169758928018041
12,279736.91366584337084,285151.49263308744412,0.0,-0.0004480378197795342743
13,280447.11222136905417,282274.92112154199276,0.0,-0.0006436007872414606368
14,280501.0490398267866,282064.70091266033705,0.0,-0.00060786451863048540645
15,281801.8837373223505,277442.48358040652238,0.0,-0.0012429539190890181999
16,280746.25529418920632,281522.21579883544473,0.0,-0.00043053910266599437762
17,280937.783603770833,280171.27494852105156,0.0,-0.0017027413953407677383
18,280040.94912261905847,284393.11602919915458,0.0,-0.0006424354267209331226
19,281050.09032445616322,279991.45269203698263,0.0,-0.00013268746962413757728
20,281493.6375351251918,278389.3377258835244,0.0,-4.0786123899572146456e-05
21,280393.43219343596138,282651.8429107456468,0.0,-6.2084373890769484206e-05
22,282023.65645119274268,276363.4007143964991,0.0,-0.0002531607127504997834
23,280693.36819264327642,281516.1472119599348,0.0,-1.7262757192604283318e-06
24,280124.24093003600137,283592.14188056904823,0.0,-0.00050527680133516383876
25,281054.59179326781305,280243.52639903500676,0.0,-0.0002643990449111566221
