trial,mean_error_train,mean_error_test,r2_score_train,r2_score_test
1,7097048.0646984428167,6546261.2808649828658,-0.030972393017980603958,-0.02879746251264081458
2,7025132.8407918727025,6833860.652338726446,-0.028818244362413647508,-0.040853803174230707285
3,6802176.0406493386254,7725774.5317931016907,-0.037032961948874731917,-0.019928217535251313564
4,6986516.875510428101,6988304.1132249459624,-0.02993226081376931802,-0.033215891479681181053
5,7023508.6138015715405,6840392.627859904431,-0.027802900742224467834,-0.05222207974314629908
6,7182541.1499589271843,6204437.5867544645444,-0.02863989883011419657,-0.04888259166064501393
7,7116275.538557631895,6469447.2139198454097,-0.027900857252649347018,-0.057104267220617233036
8,7006238.521344094537,6909400.780394616537,-0.035675283856482220557,-0.01917586560211481661
9,6706685.3768386421725,8107842.768717846833,-0.032969395589370176225,-0.025935037505190550178
10,6922672.0824797097594,7243745.9131321385503,-0.029283358904882872409,-0.036263949402147277468
11,6765620.2895449828357,7871581.6199259096757,-0.035451623093183171065,-0.021915865818942448229
12,7277922.704185139388,5823009.681137116626,-0.028758255727870496443,-0.05430147717365985116
13,6699280.8689258797094,8137375.0762708131224,-0.032355842966999892596,-0.02710060736827402117
14,6890605.2176842205226,7372030.7190071810037,-0.027889717585776852005,-0.045931746463810485537
15,7300918.6851806147024,5730449.789153254591,-0.030108757897212568011,-0.036099223041265782186
16,6966920.6714360583574,7066672.1545228017494,-0.030119449876213399975,-0.03227720537158629277
17,6913990.2441623406485,7278345.042837704532,-0.029035182438342355127,-0.037634536335378721006
18,7436447.1532219434157,5188256.321520632133,-0.029946203903090440335,-0.044691744443580816437
19,6846724.5451954696327,7547554.8616619743407,-0.034022169266805679655,-0.022955500444508558644
20,6770279.1401222664863,7853401.531071063131,-0.030345111657203993616,-0.031623956471153125136
21,7128076.8492177221924,6422249.582290164195,-0.028644225713515103493,-0.045942178304789305088
22,6954683.403350722976,7115615.6067542713135,-0.028798151070712485478,-0.039707355854890380442
23,7086203.5787932183594,6589494.0255387779325,-0.030327096649560347785,-0.031695676539307937603
24,6840337.411823396571,7573116.871445883997,-0.037351108180846637197,-0.019231507330496722119
25,6925102.3730171332136,7234082.301430414431,-0.029396945857911305211,-0.035656551078063758453
