,mean_error_train,mean_error_test,r2_score_train,r2_score_test
1,163356.09694943318027,161129.16273684156477,-0.00036610548899740358308,-0.00052626580012193890923
2,163513.17909242186579,160503.28170181205496,-7.863819538056482372e-05,-0.00036505969609579302926
3,162390.32397240994032,164995.35695530983503,-3.2745678504308983747e-06,-0.003778530268682800397
4,163209.52622312141466,161716.9286861778528,-0.00012383310708874439854,-9.8555009345080435423e-05
5,162085.61162438124302,166212.67509668442653,-0.00028992191363319541608,-0.00017784281702581949958
6,162259.18918049646891,165517.91352717706468,-5.4620314197340036344e-05,-0.0006126599992142267581
7,163332.4515913236537,161224.9225764319417,-0.00031366418596912026828,-0.0002847823511609171021
8,162550.26599769041059,164352.91932383179665,-0.00027406856024025927354,-0.00014338553226411754338
9,163256.1924050282978,161530.84210206754506,-7.193532606919461614e-06,-0.0019419399720779217944
10,163156.61447962548118,161928.61763978845556,-0.00010047581805006089439,-0.00020646068420826502177
11,163365.56134615620249,161093.01045790195349,-0.00024243244642541128542,-6.714637582083682332e-05
12,162263.29594842816005,165501.68329348179395,-2.440523771585212387e-05,-0.0011858892926099873222
13,162425.17181236477336,164855.20873104425846,-3.9406926543250619943e-05,-0.0008501974080616925278
14,162577.66566511121346,164244.9139970158285,-9.860225312219306204e-05,-0.00021653036907753886453
15,163923.39160283913952,158860.38580559246475,-0.00031113032494545223017,-0.00028417594627727638112
16,162404.06268269877182,164937.86154389902367,-9.8304388179260016045e-05,-0.00021351631812316362868
17,163430.6188983709435,160833.96259973416454,-1.3634043375621018868e-05,-0.0016137497146011536842
18,162642.4489794599358,163984.80898209440056,-0.0003718155273186862786,-0.0005122801446781899415
19,162999.58918721912778,162556.07149060195661,-0.00013144096852468756254,-7.063855161981713593e-05
20,163078.11147130548488,162242.69567560852738,-0.00010094246531222594854,-0.00020383082318553569223
21,163108.92486282857135,162119.78036994443391,-6.662281733693653507e-05,-0.00047796131674471276085
22,163743.46964551016572,159581.49301887623733,-0.00014894990225888804503,-2.8447226054106877768e-05
23,162949.21279556083027,162757.52969539535115,-0.00016737515309106498762,-6.2311109443324852464e-06
24,162245.78670759225497,165572.39161244628485,-9.862901361912257414e-05,-0.00021292269664341390012
25,162507.55971333335037,164525.28560664347606,-0.0001235504905960915778,-9.958349672056776569e-05
