trial,mean_error_train,mean_error_test,r2_score_train,r2_score_test
1,287800.28466783597833,293687.0111643417622,-0.08240842698692296686,-0.10315317805079060598
2,289133.49145457957638,288356.50848753756145,-0.090333652181491252975,-0.07160002479577953771
3,289834.435169597622,285549.81235086225206,-0.0921939082489602324,-0.065123124737696658215
4,289493.4765655680094,286903.48707495693816,-0.08519707639419404899,-0.0911306415906754097
5,288622.91760255163535,290386.01488667208469,-0.081991205493689545136,-0.105132570398852820404
6,288430.35397375148023,291172.04760578507558,-0.089006248746627880664,-0.07643094575071218699
7,288512.72971918754047,290842.2394024807727,-0.08454712009169096376,-0.09395957303864221899
8,288057.63081261975458,292651.1426766043296,-0.08390336077861015873,-0.096565132647700169244
9,289546.48261348396773,286684.5413542590104,-0.0880201293447633315,-0.07979078345538992423
10,290338.4122866008547,283534.38433922664262,-0.086450982431983458554,-0.0861065020454778729
11,289274.20151115732733,287797.0721850892878,-0.081720404762722242964,-0.10674549364832364162
12,288196.0751908508828,292099.96940472297138,-0.08934591684213977203,-0.075153243036079064865
13,288975.75053912523435,288976.42874785407912,-0.08953296830739421175,-0.07432625418933191952
14,288904.22588434285717,289261.28304892592132,-0.08965400524794753245,-0.07394275287287332965
15,289535.50925622385694,286751.12085447489517,-0.081880791464130853186,-0.106050875691162227454
16,288635.72120612458093,290332.64583411073545,-0.08387591019244622359,-0.096664783829484290933
17,290022.1068243981572,284814.49559522460913,-0.09115912322500574483,-0.068703872209554761596
18,287737.16157125489553,293936.11454193131067,-0.08375869380966172173,-0.09715033793761729264
19,289075.30074003123445,288589.36052597570233,-0.0877826554980247753,-0.08091387698958918406
20,289416.45501080801478,287213.93908587982878,-0.08541186298083447426,-0.090239308473104573594
21,288567.59509055607487,290616.19548672245583,-0.08751172443823795888,-0.081939938550681379326
22,289822.71148352557793,285591.35238433396444,-0.08393781734918204229,-0.096636642867794941836
23,288880.24483378371224,289375.33833357185358,-0.08670314474083240519,-0.08517850728852227604
24,288784.71650310466066,289749.90427284286125,-0.089451863783708951416,-0.07478310415247690912
25,288831.0140947040636,289553.81005739310058,-0.08434982028379733876,-0.0946662665214788035
