trial,mean_error_train,mean_error_test,r2_score_train,r2_score_test
1,254667.80289021632052,263772.89703527808888,0.10518028414649183144,0.07165278629787985576
2,257967.5650689668546,13172327910964.1875,0.10247728792850241408,-4.583848714774354944e+18
3,255807.38284268052666,259921.53883153307834,0.10973466305969836743,0.082790752618433605114
4,256029.46908033493673,258293.99812533330987,0.10642971113403443262,0.08037267323846664091
5,258266.7188026374206,258165.28398369520437,0.1002783186777943536,0.083114583347866033414
6,254923.73281116195722,56371814995031.726562,0.10716191883473913382,-8.350784273292012749e+19
7,255670.99698830305715,258780.01338466844754,0.10719244687140183636,0.09337767838225374817
8,254965.44138455254142,259950.0871697581315,0.10513738494085655972,0.075038458564204879586
9,257058.62374293652829,256437.81040698062861,0.103806760405230180666,0.09625595387182317442
10,258913.04776396640227,260043.95814950673957,0.101797772441579947866,0.057034062033405219516
11,256704.51261056444491,257404.86429870294523,0.1077261207958291056,0.07888867536276278347
12,254377.97974423289998,260563.9635061827139,0.106965723186286276736,0.0910945738539156169
13,255699.32037024438614,10701057820656.183594,0.105663294709442578956,-3.0273441331716608e+18
14,255756.38453438799479,260189.68832424192806,0.107483135146455577313,0.08847630767028957788
15,258119.46631699983845,258240.28313873970183,0.10169003776380614035,0.06688361305070367191
16,256281.82258328111493,259651.36406640717178,0.10071929507934263004,0.067577918499890032855
17,257725.76242047108826,256645.18861781715532,0.097459334641955885914,0.099354511852161819796
18,256379.62118582526455,1133855760744.5817871,0.10243198290705501918,-3.3633982219850312e+16
19,256917.61089151646593,259732.7227607430832,0.09976061664450919242,0.0724310636832566912
20,255741.59483160745003,256315.48768424446462,0.10653237323992770236,0.085802776413267611844
21,256371.69160157453734,259501.80492593767121,0.10391572012306793393,0.096949993364306097376
22,257575.44576549727935,253281.55560374105698,0.09994693787358044368,0.09281980928935051889
23,256654.08645204856293,264124.14427660830552,0.103404937490279014156,0.0531641791904599037
24,257911.89035686844727,263145.61253086279612,0.09942434446491965616,0.08364849095005333357
25,255578.15300817115349,5859704766378.4208984,0.11088145867375753806,-9.18625053923512064e+17
